binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
Rscript.strace,strace_logs/Rscript.strace.log,6.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008538961410522461,3631.4180929778026,0.0,0.0
Xvfb.strace,strace_logs/Xvfb.strace.log,481.0,460.0,6.0,1.0,0.0,8.0,430.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.220350980758667,1144.9331979166645,0.0,0.012875536480686695
[.strace,strace_logs/[.strace.log,10.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012310981750488281,3818.7296459834224,0.0,0.0
acyclic.strace,strace_logs/acyclic.strace.log,8.0,14.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.030675888061523438,1598.3457688242243,0.0,0.0
addpart.strace,strace_logs/addpart.strace.log,11.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010570049285888672,4352.919159110389,0.0,0.0
ambiguous_words.strace,strace_logs/ambiguous_words.strace.log,32.0,89.0,0.0,0.0,0.0,0.0,165.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05349397659301758,5366.090020947542,0.0,0.0
apt-cache.strace,strace_logs/apt-cache.strace.log,70.0,105.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06235098838806152,4796.43320370604,0.0,0.0
apt-cdrom.strace,strace_logs/apt-cdrom.strace.log,65.0,105.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06621909141540527,4440.807217463626,0.0,0.0
apt-config.strace,strace_logs/apt-config.strace.log,65.0,105.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0654759407043457,4491.198946931463,0.0,0.0
apt-extracttemplates.strace,strace_logs/apt-extracttemplates.strace.log,61.0,109.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06447005271911621,4561.256857255914,0.0,0.0
apt-ftparchive.strace,strace_logs/apt-ftparchive.strace.log,56.0,100.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06581497192382812,4300.933460847389,0.0,0.0
apt-get.strace,strace_logs/apt-get.strace.log,80.0,105.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06556105613708496,4714.163853765505,0.0,0.0
apt-mark.strace,strace_logs/apt-mark.strace.log,71.0,105.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05866408348083496,5114.861535022657,0.0,0.0
apt-sortpkgs.strace,strace_logs/apt-sortpkgs.strace.log,61.0,109.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0531461238861084,5532.9180121214295,0.0,0.0
apt.strace,strace_logs/apt.strace.log,75.0,105.0,0.0,0.0,0.0,0.0,116.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06557989120483398,4621.31873541238,0.0,0.0
arch.strace,strace_logs/arch.strace.log,6.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010464906692504883,3536.626364112729,0.0,0.0
b2sum.strace,strace_logs/b2sum.strace.log,7.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009796857833862305,4083.9417634031784,0.0,0.0
base32.strace,strace_logs/base32.strace.log,6.0,14.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011940956115722656,3183.3247344461306,0.0,0.0
base64.strace,strace_logs/base64.strace.log,6.0,14.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009608030319213867,3956.024988213107,0.0,0.0
basename.strace,strace_logs/basename.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010287046432495117,4667.062345006605,0.0,0.0
basenc.strace,strace_logs/basenc.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010827064514160156,4434.334625209196,0.0,0.0
bash.strace,strace_logs/bash.strace.log,7.0,21.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02089405059814453,2489.7467250901454,0.0,0.0
bc.strace,strace_logs/bc.strace.log,8.0,13.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010831117630004883,4617.328776772546,0.0,0.0
bcomps.strace,strace_logs/bcomps.strace.log,8.0,14.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025508880615234375,1921.8996560490505,0.0,0.0
bootctl.strace,strace_logs/bootctl.strace.log,35.0,107.0,0.0,0.0,0.0,0.0,134.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04953193664550781,5714.485463437175,0.0,0.0
bunzip2.strace,strace_logs/bunzip2.strace.log,11.0,11.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01687908172607422,2607.77688004972,0.0,0.0
busctl.strace,strace_logs/busctl.strace.log,27.0,91.0,6.0,0.0,0.0,2.0,134.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19439005851745605,1374.5270313529106,0.0,0.061855670103092786
bzcat.strace,strace_logs/bzcat.strace.log,11.0,11.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009289026260375977,4737.772054105388,0.0,0.0
bzip2.strace,strace_logs/bzip2.strace.log,8.0,13.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011249065399169922,4356.917426137086,0.0,0.0
bzip2recover.strace,strace_logs/bzip2recover.strace.log,8.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02526998519897461,1188.1791678460231,0.0,0.0
cat.strace,strace_logs/cat.strace.log,6.0,15.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02090907096862793,1961.871435250117,0.0,0.0
catman.strace,strace_logs/catman.strace.log,294.0,342.0,0.0,1.0,0.0,0.0,458.0,22.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7919840812683105,1440.4228709425129,0.0,0.0
ccomps.strace,strace_logs/ccomps.strace.log,8.0,14.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009206056594848633,5323.582964286639,0.0,0.0
chage.strace,strace_logs/chage.strace.log,25.0,35.0,1.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02291107177734375,4496.643023643023,0.0,0.027777777777777776
chattr.strace,strace_logs/chattr.strace.log,10.0,23.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013895988464355469,4462.719305469769,0.0,0.0
chcon.strace,strace_logs/chcon.strace.log,15.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017048120498657227,4341.654443745193,0.0,0.0
chfn.strace,strace_logs/chfn.strace.log,75.0,188.0,14.0,0.0,0.0,7.0,171.0,4.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.11343097686767578,4162.120824610522,0.0,0.06930693069306931
chgrp.strace,strace_logs/chgrp.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010442018508911133,4597.812384409891,0.0,0.0
chmod.strace,strace_logs/chmod.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009027957916259766,5317.816986214546,0.0,0.0
